日本国,JAPAN,0100
韓国（大韓民国）,REPUBLIC OF KOREA,0101
タイワン（台湾）,TAIWAN PROVINCE OF CHINA,0102
ホンコン（香港特別行政区）,HONG KONG SPECIAL ADMINISTRATIVE REGION,0103
ベトナム社会主義共和国,SOCIALIST REPUBLIC OF VIET NAM,0104
タイ王国,KINGDOM OF THAILAND,0105
シンガポール共和国,REPUBLIC OF SINGAPORE,0106
マレーシア,MALAYSIA,0107
ブルネイ・ダルサラーム国,BRUNEI DARUSSALAM,0108
フィリピン共和国,REPUBLIC OF THE PHILIPPINES,0109
インドネシア共和国,REPUBLIC OF INDONESIA,0110
カンボジア王国,KINGDOM OF CAMBODIA,0111
ラオス人民民主共和国,LAO PEOPLE'S DEMOCRATIC REPUBLIC,0112
ミャンマー連邦,UNION OF MYANMAR,0113
インド,REPUBLIC OF INDIA,0114
パキスタン・イスラム共和国,ISLAMIC REPUBLIC OF PAKISTAN,0115
スリランカ民主社会主義共和国,DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA,0116
モルディヴ共和国,REPUBLIC OF MALDIVES,0117
バングラデシュ人民共和国,PEOPLE'S REPUBLIC OF BANGLADESH,0118
東チモール,EAST TIMOR,0119
マカオ,MACAU,0120
アフガニスタン・イスラム国,ISLAMIC STATE OF AFGHANISTAN,0121
ネパール王国,KINGDOM OF NEPAL,0122
ブータン王国,KINGDOM OF BHUTAN,0123
中国（中華人民共和国）,PEOPLE'S REPUBLIC OF CHINA,0124
北朝鮮(朝鮮民主主義人民共和国),DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,0125
モンゴル国,MONGOLIA,0126
その他　アジア,OTHERS ASIA,0199
バーレーン国,STATE OF BAHRAIN,0201
イラン・イスラム共和国,ISLAMIC REPUBLIC OF IRAN,0202
イラク共和国,REPUBLIC OF IRAQ,0203
イエメン共和国,REPUBLIC OF YEMEN,0204
サウジアラビア王国,KINGDOM OF SAUDI ARABIA,0205
クウェート国,STATE OF KUWAIT,0206
サウジクエート中立地帯,SAUDI ARABIA ; KUWAIT NEUTRAL ZONE,0207
カタール国,STATE OF QATAR,0208
オマーン国,SULTANATE OF OMAN,0209
イスラエル国,STATE OF ISRAEL,0211
ヨルダン・ハシェミット王国,HASHEMITE KINGDOM OF JORDAN,0212
シリア・アラブ共和国,SYRIAN ARAB REPUBLIC,0213
レバノン共和国,LEBANESE REPUBLIC,0214
アラブ首長国連邦,UNITED ARAB EMIRATES,0215
ガザ（パレスチナ地区）,THE WEST BANK AND GAZA STRIP,0216
リビア・アラブ国,SOCIALIST PEOPLE'S LIBYAN ARAB JAMAHIRIYA,0217
エジプト・アラブ共和国,ARAB REPUBLIC OF EGYPT,0218
スーダン共和国,REPUBLIC OF THE SUDAN,0219
ジブチ共和国,REPUBLIC OF DJIBOUTI,0220
ソマリア民主共和国,SOMALI DEMOCRATIC REPUBLIC,0221
その他　中近東,OTHERS MIDDLE EAST,0299
オーストリア共和国,REPUBLIC OF AUSTRIA,0301
ベルギー王国,KINGDOM OF BELGIUM,0302
デンマーク王国,KINGDOM OF DENMARK,0303
フィンランド共和国,REPUBLIC OF FINLAND,0304
ノルウェー王国,KINGDOM OF NORWAY,0305
フランス共和国,FRENCH REPUBLIC,0306
ドイツ連邦共和国,FEDERAL REPUBLIC OF GERMANY,0307
イタリア共和国,ITALIAN REPUBLIC,0308
ルクセンブルク大公国,GRAND DUCHY OF LUXEMBOURG,0309
オランダ王国,KINGDOM OF THE NETHERLANDS,0310
スペイン,KINGDOM OF SPAIN,0311
スウェーデン王国,KINGDOM OF SWEDEN,0312
スイス連邦,SWISS CONFEDERATION,0313
イギリス,UNITED KINGDOM,0314
アンドラ公国,PRINCIPALITY OF ANDORRA,0315
アゾレス諸島,AZORES ISLANDS,0316
キプロス共和国,REPUBLIC OF CYPRUS,0317
ジブラルタル,GIBRALTAR,0318
ギリシャ共和国,HELLENIC REPUBLIC,0319
トルコ共和国,REPUBLIC OF TURKEY,0320
アイスランド共和国,REPUBLIC OF ICELAND,0321
アイルランド,IRELAND,0322
リヒテンシュタイン公国,PRINCIPALITY OF LIECHTENSTEIN,0323
マルタ共和国,REPUBLIC OF MALTA,0324
モナコ公国,PRINCIPALITY OF MONACO,0325
ポルトガル共和国,PORTUGUESE REPUBLIC,0326
サンマリノ共和国,REPUBLIC OF SAN MARINO,0327
バチカン市国,HOLY SEE (VATICAN CITY STATE),0328
西欧諸機関,OTHERS EUROPEAN INSTITUTIONS,0330
セルビア,SERBIA,0331
クロアチア共和国,REPUBLIC OF CROATIA,0332
スロベニア共和国,REPUBLIC OF SLOVENIA,0333
ボスニア・ヘルツェゴビナ共和国,REPUBLIC OF BOSNIA AND HERZEGOVINA,0334
マケドニア,THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,0335
ガーンジィ,BAILIWICK OF GUERNSEY,0336
ジャージィー,BAILIWICK OF JERSEY,0337
マン島,ISLE OF MAN,0338
モンテネグロ,MONTENEGRO ,0339
その他　西欧,OTHERS WESTERN EUROPE,0399
アルバニア共和国,REPUBLIC OF ALBANIA,0401
ブルガリア共和国,REPUBLIC OF BULGARIA,0402
ハンガリー共和国,REPUBLIC OF HUNGARY,0405
ポーランド共和国,REPUBLIC OF POLAND,0406
ルーマニア,ROMANIA,0407
チェコ共和国,CZECH REPUBLIC,0409
スロバキア共和国,SLOVAK REPUBLIC,0410
エストニア共和国,REPUBLIC OF ESTONIA,0411
ラトビア共和国,REPUBLIC OF LATVIA,0412
リトアニア共和国,REPUBLIC OF LITHUANIA,0413
アルメニア共和国,REPUBLIC OF ARMENIA,0414
アゼルバイジャン共和国,AZERBAIJAN REPUBLIC,0415
ベラルーシ共和国,REPUBLIC OF BELARUS,0416
グルジア共和国,GEORGIA,0417
カザフスタン共和国,REPUBLIC OF KAZAKHSTAN,0418
キルギス共和国,KYRGYZ REPUBLIC,0419
モルドバ共和国　,REPUBLIC OF MOLDOVA,0420
ロシア連邦,RUSSIAN FEDERATION,0421
タジキスタン共和国,REPUBLIC OF TAJIKISTAN,0422
トルクメニスタン,TURKMENISTAN,0423
ウクライナ,UKRAINE,0424
ウズベキスタン共和国,REPUBLIC OF UZBEKISTAN,0425
その他　東欧,OTHERS0 EASTERN EUROPE,0499
カナダ,CANADA,0500
アメリカ合衆国（米国）,UNITED STATES OF AMERICA,0600
パナマ共和国,REPUBLIC OF PANAMA,0701
パナマ・運河地帯,PANAMA CANAL ZONE,0702
バーミューダ諸島,BERMUDA,0703
バハマ国,COMMONWEALTH OF THE BAHAMAS,0704
ジャマイカ,JAMAICA,0705
タークス諸島・カイコス諸島,TURKS AND CAICOS ISLANDS,0706
アンティグア・バーブーダ,ANTIGUA AND BARBUDA,0707
バルバドス,BARBADOS,0708
トリニダード・トバゴ共和国,REPUBLIC OF TRINIDAD AND TOBAGO,0709
キューバ共和国,REPUBLIC OF CUBA,0710
ハイチ共和国,REPUBLIC OF HAITI,0711
ドミニカ国,COMMONWEALTH OF DOMINICA,0712
プエルトリコ,PUERTO RICO,0713
アメリカ領バージン諸島,VIRGIN ISLANDS OF THE UNITED STATES,0714
オランダ領アンチル,NETHERLANDS ANTILLES,0715
フランス領西インド,FRENCH WEST INDIES,0716
ケイマン諸島,CAYMAN ISLANDS,0717
グレナダ,GRENADA,0718
セントルシア,SAINT LUCIA,0719
モントセラト（英国統治）,MONTSERRAT,0720
セントクリストファー・ネイビス,SAINT CHRISTOPHER AND NEVIS,0721
セントビンセント・グレナディーン諸島,SAINT VINCENT AND THE GRENADINES,0722
イギリス領バージン諸島,BRITISH VIRGIN ISLANDS,0723
ドミニカ共和国,DOMINICA REPUBLIC,0724
その他　カリブ海,OTHERS CARIBBEAN AREA,0799
アルゼンチン共和国,ARGENTINE REPUBLIC,0801
ボリビア共和国,REPUBLIC OF BOLIVIA,0802
ブラジル連邦共和国,FEDERATIVE REPUBLIC OF BRAZIL,0803
ホンジュラス共和国,REPUBLIC OF HONDURAS,0804
ベリーズ,BELIZE,0805
ガイアナ協同共和国,CO-OPERATIVE REPUBLIC OF GUYANA ,0806
チリ共和国,REPUBLIC OF CHILE,0807
コロンビア共和国,REPUBLIC OF COLOMBIA,0808
コスタリカ共和国,REPUBLIC OF COSTA RICA,0809
エクアドル共和国,REPUBLIC OF ECUADOR,0810
エルサルバドル共和国,REPUBLIC OF EL SALVADOR,0811
フランス領ギアナ,FRENCH GUIANA,0812
グアテマラ共和国,REPUBLIC OF GUATEMALA,0813
メキシコ合衆国,UNITED MEXICAN STATES  ,0814
ニカラグア共和国,REPUBLIC OF NICARAGUA,0815
パラグアイ共和国,REPUBLIC OF PARAGUAY,0816
ペルー共和国,REPUBLIC OF PERU,0817
スリナム共和国,REPUBLIC OF SURINAME,0818
ウルグアイ東方共和国,ORIENTAL REPUBLIC OF URUGUAY ,0819
ベネズエラ・ボリバル共和国,BOLIVARIAN REPUBLIC OF VENEZUELA ,0820
フォークランド（マルビナス）諸島,FALKLAND ISLANDS (MALVINAS),0821
その他　ラテンアメリカ,OTHERS LATIN AMERICA,0899
モロッコ王国,KINGDOM OF MOROCCO,0901
セウタ・メリリヤ,CEUTA AND MELILLA,0902
アルジェリア民主人民共和国,PEOPLE'S DEMOCRATIC REPUBLIC OF ALGERIA,0903
チュニジア共和国,REPUBLIC OF TUNISIA,0904
西サハラ,WESTERN SAHARA,0905
モーリタニア・イスラム共和国,ISLAMIC REPUBLIC OF MAURITANIA,0906
セネガル共和国,REPUBLIC OF SENEGAL,0907
ガンビア共和国,REPUBLIC OF THE GAMBIA,0908
ギニアビサウ共和国,REPUBLIC OF GUINEA-BISSAU,0909
ギニア共和国,REPUBLIC OF GUINEA,0910
シエラレオネ共和国,REPUBLIC OF SIERRA LEONE,0911
リベリア共和国,REPUBLIC OF LIBERIA,0912
コートジボワール共和国,REPUBLIC OF COTE D'IVOIRE,0913
ガーナ共和国,REPUBLIC OF GHANA,0914
トーゴ共和国,TOGOLESE REPUBLIC,0915
ベナン共和国,REPUBLIC OF BENIN,0916
マリ共和国,REPUBLIC OF MALI,0917
ブルキナファソ,BURKINA FASO,0918
カーボベルデ共和国,REPUBLIC OF CAPE VERDE,0919
カナリア諸島,CANARY ISLANDS,0920
ナイジェリア連邦共和国,FEDERAL REPUBLIC OF NIGERIA,0921
ニジェール共和国,REPUBLIC OF THE NIGER,0922
ルワンダ共和国,RWANDESE REPUBLIC,0923
カメルーン共和国,REPUBLIC OF CAMEROON,0924
チャド共和国,REPUBLIC OF CHAD,0925
中央アフリカ共和国,CENTRAL AFRICAN REPUBLIC,0926
赤道ギニア共和国,REPUBLIC OF EQUATORIAL GUINEA,0927
ガボン共和国,GABONESE REPUBLIC,0928
コンゴ共和国,REPUBLIC OF THE CONGO,0929
コンゴ民主共和国,THE DEMOCRATIC REPUBLIC OF THE CONGO,0930
ブルンジ共和国,REPUBLIC OF BURUNDI,0931
アンゴラ共和国　,REPUBLIC OF ANGOLA,0932
サントメ・プリンシペ民主共和国,DEMOCRATIC REPUBLIC OF SAO TOME AND PRINCIPE,0933
セントヘレナ島,SAINT HELENA,0934
ケニア共和国,REPUBLIC OF KENYA,0935
ウガンダ共和国,REPUBLIC OF UGANDA,0936
タンザニア連合共和国,UNITED REPUBLIC OF TANZANIA,0937
セイシェル共和国,REPUBLIC OF SEYCHELLES,0938
モザンビーク共和国,REPUBLIC OF MOZAMBIQUE,0939
マダガスカル共和国,REPUBLIC OF MADAGASCAR,0940
モーリシャス共和国,REPUBLIC OF MAURITIUS,0941
レユニオン,REUNION,0942
ジンバブエ共和国,REPUBLIC OF ZIMBABWE,0943
南アフリカ共和国,REPUBLIC OF SOUTH AFRICA,0944
ナミビア共和国,REPUBLIC OF NAMIBIA,0945
レソト王国,KINGDOM OF LESOTHO,0946
マラウイ共和国,REPUBLIC OF MALAWI,0947
ザンビア共和国,REPUBLIC OF ZAMBIA,0948
ボツワナ共和国,REPUBLIC OF BOTSWANA,0949
スワジランド王国,KINGDOM OF SWAZILAND,0950
コモロ連合,UNION OF COMOROS ,0951
イギリス領インド洋地域,BRITISH INDIAN OCEAN TERRITORY,0952
エチオピア連邦民主共和国,FEDERAL DEMOCRATIC REPUBLIC OF ETHIOPIA,0953
エリトリア国,ERITREA,0954
その他　アフリカ,OTHERS AFRICA,0999
オーストラリア,AUSTRALIA,1001
ニュージーランド,NEW ZEALAND,1002
パプアニューギニア,PAPUA NEW GUINEA,1003
ツバル,TUVALU,1004
その他　オーストラリア領,OTHERS AUSTRALIAN ZONE,1005
クック諸島,COOK ISLANDS,1006
トケラウ諸島,TOKELAU,1007
ニウエ,NIUE,1008
サモア独立国,INDEPENDENT STATE OF SAMOA,1009
バヌアツ共和国,REPUBLIC OF VANUATU,1010
フィジー共和国,REPUBLIC OF FIJI,1011
ソロモン諸島,SOLOMON ISLANDS,1012
トンガ王国,KINGDOM OF TONGA,1013
キリバス共和国,KIRIBATI,1014
ピトケアン島,PITCAIRN,1015
ナウル共和国,REPUBLIC OF NAURU,1016
ニューカレドニア,NEW CALEDONIA,1017
フランス領オセアニア,FRENCH OCEANIA,1018
グァム,GUAM,1019
アメリカ領サモア,AMERICAN SAMOA,1020
アメリカ領オセアニア,AMERICAN OCEANIA,1021
マリアナ・マーシャル・カロライン諸島,MARIANAS MARSHALLS CAROLINES,1022
その他　大洋州,OTHERS OCEANIA,1099
当行現地法人,THIS BANK AFFILIATED COMPANY,0099
国際機関,INTERNATIONAL INSTITUTIONS,1100
国際開発銀行,INTERNATIONAL DEVELOPMENT BANK,1101
ＥＣ下部機構,,1102
その他,OTHERS,1999
